特許権者,特許番号,技術担当者,知財担当者,発明の内容,侵害可能性,侵害企業・製品候補,無効可能性,収益見込み,関連情報,進捗・メモ,特許公報リンク,重複チェック,特許番号(番号のみ)
IBM,特許05496853,柿崎,草野,構造化文書ルール決め,〇,"SAS Enterprise Miner（SAS Institute Inc.） 累計売上：約350億円（2014年3月14日以降、日本国内）
SAS Viya: Machine Learning（Visual Data Mining and Machine Learning, SAS Institute Inc.） 累計売上：約50億円（同上）
SAS Visual Machine Learning（SAS Institute Inc.） 累計売上：約200億円（同上）",,B,https://chatgpt.com/share/68a30a99-2ed4-8010-8d88-91b74fe8854e,,,1,5496853
IBM,特許05341207,柿崎,草野,データテープ,〇,"LTO Ultrium テープドライブ（外国企業製） ― 約250億円
Quantum LTO-8 テープドライブ（Quantum社） ― 約16.7億円
Overland-Tandberg LTO-8 テープドライブ（Overland Storage社） ― 約5.6億円
Quantum DLT-S4 テープドライブ（Quantum社） ― 0億円
Exabyte Mammoth-2 (M2) テープドライブ（Exabyte社） ― 0億円",,B,https://chatgpt.com/share/68a30a7e-d1ec-8010-b5a4-8f9642fc86a4,,,1,5341207
IBM,特許05209059,柿崎,草野,,,,,,,,,1,5209059
IBM,特許05204300,柿崎,草野,,,,,,,,,1,5204300
IBM,特許05181141,柿崎,草野,間接データアドレッシング,〇,"Samsung製NVMe SSD（Samsung Electronics）– 累計売上約130億円
NVIDIA Mellanox ConnectX NIC（NVIDIA）– 累計売上約80億円
Realtek RTL8125B搭載NIC（Realtek）– 累計売上約5億円
Western Digital WD_BLACK SN850X NVMe SSD（Western Digital）– 累計売上約24億円",,B,https://chatgpt.com/share/68a31331-ab14-8010-8f05-2f18bc873995,,,1,5181141
IBM,特許05159900,柿崎,草野,アクセス競合低減,〇,Huawei OceanStor Dorado：377億円,,B,https://chatgpt.com/share/689f4264-dab0-8010-b5f1-baf096a05817,,,1,5159900
IBM,特許05102901,柿崎,草野,,,,,,,,,1,5102901
IBM,特許05005005,柿崎,草野,,,,,,,,,1,5005005
IBM,特許04965623,柿崎,草野,パラメータ,〇,,,C,,売上中,,1,4965623
IBM,特許04917173,柿崎,草野,,,,,,,,,1,4917173
IBM,特許04668332,柿崎,草野,,,,,,,,,1,4668332
東芝,特許06577324,徳田,小田,行動解析,△,"Avigilon（Motorola Solutions社の映像解析システム）２８億～５７億の売り上げ
Irisity社 innoVi（旧Agent Vi社のクラウド映像解析プラットフォーム）",,C,https://chatgpt.com/g/g-p-68a1ab8bd59c8191a6ab1e97ca7e4fd2-xiao-tian/c/68a1e2a7-eb84-8325-ba82-f1810dc67908,無効理由：新規性なしリスク中程度,,1,6577324
東芝,特許06517718,徳田,小田,会議の文字起こしの訂正処理,×,,,E,https://chatgpt.com/share/68b2365c-cd3c-800b-b65a-6bbebd8d3a64,「前記字幕情報に対する訂正作業を検知する検知部」以下の構成を充足したシステムは見つかっていない。,,1,6517718
東芝,特許06505421,徳田,小田,文書の属性抽出,△,IBM Watson Explorer（Analytical Components）＋ Watson Knowledge Studio（AQLルール・アノテータ）約７２億円,△新規性はある,C,https://chatgpt.com/share/68ab8e6a-edd0-800b-9def-1533034c5ef1,侵害立証が難しい内容,,1,6505421
東芝,特許06470165,徳田,小田,最適学習パラメータ探索,△,"Amazon SageMaker ハイパーパラメータチューニング (Automatic Model Tuning)
 Google Cloud Platform のハイパーパラメータチューニング（Vizier ベース）
 Microsoft Azure Machine Learning のハイパーパラメーター調整
  が実施している可能性が高い。いずれも１００億以上",,A,https://chatgpt.com/g/g-p-68a1ab8bd59c8191a6ab1e97ca7e4fd2-xiao-tian/c/68a1d1b4-5548-8324-8559-878629b6e1ec,３つのサーバで構成されたシステム。学習モデルのパラメータ調整を3つのサーバで行っていることが特徴。そうしているのかどうかを特定するのが、困難な特許。,,1,6470165
東芝,特許06392114,徳田,小田,仮想試着システム,△,"韓国FXGear社「FXMIRROR」システム（日本国内でMakip社により展開）
売り上げは、２５００万円ほど。",,D,https://chatgpt.com/g/g-p-68a1ab8bd59c8191a6ab1e97ca7e4fd2-xiao-tian/c/68a1d02b-0b18-8330-be69-04b4ad72b0fd,,,1,6392114
東芝,特許06334442,徳田,小田,点群→サーフェス／ソリッド変換の自動化,△,"米国FARO社の3D点群処理ソフト「FARO SCENE」と、そのアドオン「SCAN2FX Depth Fixer」が請求項１を充足。47.95億USD×12.4%×23.4%×25%×40% ≒ 1,391万USD → 約20.5億円 推定",,C,https://chatgpt.com/share/68ab9212-f42c-800b-b0ff-b9df1258a2fa,,,1,6334442
東芝,特許06207889,徳田,小田,浸水予測システム,△,One Concern社　SONPOと提携,〇,B,https://chatgpt.com/share/68b2d4a7-9830-800b-a983-53ceed6489f5,新規性なしの無効理由あり,,1,6207889
東芝,特許06203208,徳田,小田,道路の劣化自動診断,〇,"デンソーなど、日本の自動車関連メーカ
Gaist×みちログ（アイシン）：少なくとも岡崎市・刈谷市・豊川市・磐田市で確認。**国内導入は計8件（公的機関8件）**の記載が公的サイトにあり、国内売上は概ね2,200万〜4,800万円/",,D,https://chatgpt.com/share/68b3bc70-ff24-800b-9e5b-795624f3e8f4,日本で実施しているのは、ほぼ日本企業,,1,6203208
東芝,特許06091560,徳田,小田,点群解析,×,ドイツメーカのNavVis IVION　が類似,,E,https://chatgpt.com/s/dr_68b23703a87481918ffa7b3b40d658c5,点群解析の特許の基本は、公知技術であり、特許になった限定要素の構成部分はほぼ見えない処理なので、侵害立証がそもそも難しいと考えています。ChatGPTは、ドイツメーカのNavVis IVIONを例に比較したが、限定要素が×となる分析でした。,,1,6091560
東芝,特許06026651,徳田,小田,装着者データの送信判断,×,"アップルウォッチ
FitBit",,A→E,https://chatgpt.com/share/68ab9acb-ccec-800b-8f2d-137c7ddf9d03,特許の構成要素である、判定部の機能が、アップルウォッチとiPhone間のBTペアリングに当てはめれないか検討したが、該当しない。,,1,6026651
東芝,特許05707369,徳田,小田,EV管理システム,×,テスラのEV管理システム,,E,https://chatgpt.com/share/68ac1636-8b64-800b-808d-f3105506578c,貸出時刻や複数充電器の統合管理といった機能は現行のテスラ充電管理システムには含まれていない。,,1,5707369
東芝,特許05638578,徳田,小田,３Dモデル生成における観測漏れ防止,〇,DDIのQloneというアプリが、請求項１に抵触する可能性があるが、売り上げが２００万未満。,,E,https://chatgpt.com/share/68ac6e71-0770-800b-ad95-aa6ab5dfc646,,,1,5638578
東芝,特許05417217,徳田,小田,駐車車両管理システム,△,"Geminiの分析では、車止めの構成要素で、実施サービスから外れる。
GPTは、Nietzsche Enterprise（NHR）社のスマート駐車システムが実施していると判定",,D,https://chatgpt.com/share/68b380de-f438-800b-8812-2d10607edbb6,台湾メーカが実施可能性あり。,,1,5417217
東芝,特許05225344,徳田,小田,利用者の種類に応じて観測対象者の生活行動データの表示を切り替え提示,△,"アップルウォッチ単体では無理。
ヘルスケアシステムだと該当可能性あり。
https://www.dgs-j.com/system/managementsystem/",,A→E,https://chatgpt.com/share/68ac700c-6318-800b-9e33-b5a78ea012e9,"「観測対象者」と「利用者」が同一人物であれば、侵害と言える可能性があったが、明細書にはそのような記載はなく、あくまで「観測対象者＝老人、患者」、「利用者＝医者、看護者」なので、訴えても負ける可能性が高い。
ヘルスケアシステムは、該当可能性あり",,1,5225344
NTT,特許06675806,滝波,奥野,違法コンテンツ検知装置,×,,,,https://chatgpt.com/share/68a90cb9-ecb8-800b-afb3-6eb371c7e195,周波数スペクトルの確認困難,,1,6675806
NTT,特許06556064,滝波、高橋,奥野,情報案内システム,×,,,,https://chatgpt.com/share/68a95527-6f6c-800b-a3c9-5284995e226c,電子スタンプラリー情報なし,,1,6556064
NTT,特許06513562,滝波,奥野,閲覧管理システム,×,,,,https://chatgpt.com/share/68aac1e7-9bec-800b-8bc3-a9d22a4b84ab,,,1,6513562
NTT,特許06473048,滝波,奥野,移動装置操作端末,×,,,,https://chatgpt.com/share/68aac431-9b40-800b-8589-9024ee45b85a,,,1,6473048
NTT,特許06470112,滝波,奥野,移動装置操作端末,×,,,,https://chatgpt.com/share/68aafac2-6db4-800b-ad73-b78ae40d33ec,,,1,6470112
NTT,特許06346585,滝波、高橋,奥野,操作支援装置,×,,,,https://chatgpt.com/share/68ab1818-6334-800b-b1c0-9c1cfe36589e,,,1,6346585
NTT,特許06170881,滝波,奥野,情報分析システム,×,,,,https://chatgpt.com/share/68ae2ab5-24f0-800b-b208-029e6b1e7ec6,,,1,6170881
NTT,特許06154072,滝波、高橋,奥野,情報分析システム,×,,,,https://chatgpt.com/share/68ae2f96-c2f8-800b-80ee-f051629f11dd,,,1,6154072
東芝,特許06707427,徳田,小田,列の構造に応じて情報を空間表示する情報処理技術,△,日本国内（関西国際空港）での導入実績が公表されている **Xovis（スイス）「Xovis Airport PFMS / AERO + 3Dセンサー」　売り上げ予想4億円,,D,https://chatgpt.com/share/68ae3bb2-f4b4-800b-ab40-19626cb1f4df,,,1,6707427
東芝,特許06709281,徳田,小田,加速度センサを用いた高精度な行動推定技術,×,スマートウォッチ系,,E,https://chatgpt.com/share/68ae370d-37a8-800b-b305-25ea45a81893,各社のアルゴリズムが不明なため、構成要素を満たしていない,,1,6709281
東芝,特許06797780,徳田,小田,クラス別に予測モデルを構築・評価する情報処理技術,△,Amazon　Forcast,〇　新規性なし,B,https://chatgpt.com/share/68b2aada-f524-800b-8f0f-3e00f4c5b374,,,1,6797780
東芝,特許06818639,徳田,小田,河川データに基づく危険度評価と情報提供システム,△,"Google社：洪水予測システム (Google Public Alerts / Flood Hub 等
他、IBM社など",,C,https://chatgpt.com/share/68b23e39-90dc-800b-ac93-7e61954f936e,,,1,6818639
東芝,特許06847881,徳田,小田,画像センサとサーバによる空席情報提供システム,△,海外企業で該当するものはあるが、日本でサービスなし,,E,https://chatgpt.com/share/68b2ab5e-5f5c-800b-ba29-e54fc8bdbbd0,,,1,6847881
東芝,特許06910987,徳田,小田,認識モデルの精度向上とタグ抽出によるモデル再構築技術,×,,,E,https://chatgpt.com/share/68b2aa5b-9714-800b-a95a-d7f90c38770b,やってそうな感じはあるが、該当サービスは見つけれていない。侵害立証が困難な技術要素,,1,6910987
東芝,特許06926224,徳田,小田,熟練工の技能をデータ化・モデル化し、他拠点へ提供する技能基盤システム,〇,Siemens Senseye Predictive Maintenance（Siemens社、ドイツ）,,D,https://chatgpt.com/share/68b2b0d2-e2fc-800b-8097-2199b13a9d57,カタログなどから立証できるかもしれない。,,1,6926224
東芝,特許06982657,徳田,小田,加速度波形と角度情報に基づく行動推定信号処理システム,〇,アップルウォッチなど,"△
https://chatgpt.com/s/dr_68b42fa6a6ec819186865a8bf4f3d02a",A→E,https://chatgpt.com/share/68b2b1bc-6ff0-800b-87c5-2d1ceeb56bb2,要検討。親特許は、06709281。アリゴリズムが不明なため、親は×。本特許は、システムクレームのため、可能性あり。2017年3月28日より前の無効理由調査を行う。→無効になる可能性がある先行文献あり。,,1,6982657
東芝,特許07023690,徳田,小田,道路の点検・補修情報と住民通報を統合表示する維持管理システム,△,"米国Citylogix社「Streetlogix」（日本国内未導入だが同種技術）,日本企業　富士通、アイシンが侵害可能性あり",,E,https://chatgpt.com/share/68b2b329-bf6c-800b-822c-f132a8d4f6b6,,,1,7023690
東芝,特許07114407,徳田,小田,顔画像・座席・所持品の関連付けによる本人照合と通知システム,〇,iOmniscient社（豪州）のスマート監視システム（日本国内でも導入実績あり）,,C,https://chatgpt.com/share/68b2b2d6-7440-800b-9e4a-5d9112081662,,,1,7114407
東芝,特許07140695,徳田,小田,画像センサによる混雑度検知と出力制御を行う情報出力制御システム,〇,WaitTime、Xovis、RetailNextの3社、RetailNextの日本での推定売上が高い,,D,https://chatgpt.com/share/68b2cb75-e6fc-800b-b256-8ed09f5eb5d9,,,1,7140695
東芝,特許07155231,徳田,小田,地図上の2次元領域に対応する3次元空間を選択・強調表示する技術,〇,Esri/Mapbox/Cesium,△,C→E,https://chatgpt.com/share/68b2d0e1-3c7c-800b-b050-43a9b1fde582,見た目特許なので、有望→無効理由の文献抽出,,1,7155231
東芝,特許07204824,徳田,小田,流通後の機器を対象とした制御支援システム・プログラム・方法,〇,シーメンス、PTC、IBM、GE,,C,https://chatgpt.com/share/68b2d234-0f30-800b-a593-81e406aa2605,,,1,7204824
東芝,特許07258702,徳田,小田,二次電池の再製品化・回収支援に関するサーバシステム,〇,中国ＰＡＮＤ社、,△,C→E,https://chatgpt.com/share/68b2f1d5-3c44-800b-8d6b-05ac5f0f34d1,伊藤忠が提携。5年で売上高100億円規模→出願日より前に実施している可能性が高い。,,1,7258702
東芝,特許07313907,徳田,小田,モビリティ利用者と車両の関連付け・イベント連携によるサービス提供管理システム,〇,Uber、Limeなど配車システム,△,C→E,https://chatgpt.com/share/68b2d9b3-bc30-800b-9e88-9bbae1f100a2,無効理由調査の結果、新規性なし文献あり,,1,7313907
東芝,特許07341962,徳田,小田,クエリ画像・テキストを用いた物体検出モデルの学習データ自動収集技術,△,グーグルレンズ,〇　新規性なし,A→E,https://chatgpt.com/share/68b2d8dd-0798-800b-b85f-d67ce1d59b6e,侵害特定が難しい→無効理由調査の結果では、新規性もない結果,,1,7341962
東芝,特許07353964,徳田,小田,人感センサと天候・混雑情報を活用した人の移動誘導システム,〇,Mode社の統合IoTプラットフォーム「BizStack/BizStack Assistant」,,C,https://chatgpt.com/share/68b2f3fe-4850-800b-9e60-a586e7e90f6a,,,1,7353964
東芝,特許07434117,徳田,小田,複数データベースを横断検索する対話装置,〇,アップルSiri,〇,A→E,https://chatgpt.com/share/68b2f4dd-a410-800b-89a5-07e0e256b776,要検討　出願日が、令和２年９月１０日であり、Siriより後というのが気になる。→追加無効調査。やはり、Siriの方が先。,,1,7434117
東芝,特許07446772,徳田,小田,避難支援システム,×,日本で抵触するサービスなし,,E,https://chatgpt.com/share/68b2d957-8538-800b-b6eb-1b53f2603539,,,1,7446772
東芝,特許07481914,徳田,小田,顔認証による通行制御装置・システム,〇,中国メーカ　ハイクビジョン,,C,https://chatgpt.com/share/68b2f932-84f4-800b-b136-2ced3d13f8b6,,,1,7481914
東芝,特許07493981,徳田,小田,電子駐車券管理システム,〇,SKIDATA社（本社オーストリア）,,D,https://chatgpt.com/share/68b2fb0d-4cd4-800b-9072-2075df774028,,,1,7493981
東芝,特許07577600,徳田,小田,複数カメラによる高精度な3次元マップ推定技術,〇,Tesla,〇　先行のSony特許など、多数,A→E,https://chatgpt.com/share/68b2fa94-db80-800b-bcb3-27540756e20b,要検討→無効理由あり。,,1,7577600
東芝,特許07594403,徳田,小田,微小位置変化に対応する画像特徴抽出モデルの生成技術,△,グーグル、アップル、NVIDIA,,D,https://chatgpt.com/share/68b2fe0b-fb04-800b-a3af-b793ac84f115,無償提供機能,,1,7594403
東芝,特許07607087,徳田,小田,視線検出に基づく拡張現実表示制御技術,〇,Magic Leap 2　ヘッドマウントディスプレイ,×新規性はある,D,https://chatgpt.com/share/68b302a6-0944-800b-865c-67264a5b6917,無効理由調査結果は、新規性あり。,,1,7607087
東芝,特許07642335,徳田,小田,FAQ対話データの生成・分析・最適化技術,△,IBM Watson Assistant（米国IBM社のチャットボットサービス。日本国内でも提供あり）Azure QnA Maker / Custom Question Answering（米国Microsoft社のFAQ自動応答サービス。日本リージョン対応あり）,×新規性はある,B,https://chatgpt.com/share/68b2f9f9-d10c-800b-a67b-1d8bcce987cb,新規性はある,,1,7642335
NTT,特許07704245,高橋,小田,複数の形式の応答を生成するAIモデル,×,,,,https://chatgpt.com/share/68ea59e5-1434-800b-9bb4-b59c94e880d4,,,1,7704245
NTT,特許07704190,高橋,小田,マルチモーダルAI,〇,OpenAI、Microsoft Azure、Google Cloud、AWS Bedrock、IBM watsonx.ai,,A,https://chatgpt.com/share/68ea5a39-c62c-800b-8167-1c61f918010d,https://chatgpt.com/s/dr_68ec5c7b8f808191a5b4bc8391e09f25,,1,7704190
NTT,特許07700849,高橋,小田,AI（自然言語処理）を用いたESG/SDGs評価システム,×,,,,https://chatgpt.com/share/68ea5a85-0164-800b-8ff1-e418fdfba351,,,1,7700849
NTT,特許07694710,高橋,小田,音の方向で振動位置を錯覚させる技術,×,,,,https://chatgpt.com/share/68ea5ac9-a988-800b-a9e5-2da69b4a6b89,,,1,7694710
NTT,特許07652292,高橋,小田,ユーザの特徴をベクトル化しパーソナライズする学習方法,×,,,,https://chatgpt.com/share/68ea5b0a-5b1c-800b-ac6c-95bb4bb85e25,,,1,7652292
NTT,特許07647919,高橋,小田,画像パターンおよび付随テキストパターンをベクトル化し、同一ベクトル空間で混合特徴量を生成する画像処理技術,〇,Google社・Microsoft社・Amazon社の提供する各サービス,,A,https://chatgpt.com/share/68eb7761-1dcc-800b-95ef-fae0baa91d41,https://chatgpt.com/s/dr_68ec62c7898081918d06915c9d8495d5,,1,7647919
NTT,特許07632696,高橋,小田,OSバイパスによるアクセラレータ利用,×,,,,https://chatgpt.com/share/68eadb38-046c-800b-8d57-b39efa5de6b7,,,1,7632696
NTT,特許07632626,高橋,小田,: 「相互許可」と「許可の非通知性」を組み合わせた表示制御,×,,,,https://chatgpt.com/share/68eadba5-112c-800b-b974-55da807815b3,,,1,7632626
NTT,特許07582500,高橋,小田,価格決定（報酬制御）とリソース割当（マッチング戦略）を統合的に最適化するマッチングシステム,〇,Uber の配車マッチングシステム,,B,https://chatgpt.com/share/68eadbe0-e294-800b-b9ba-13488714acc1,https://chatgpt.com/s/dr_68ec6302ac908191ab23850c4e575ad8,,1,7582500
NTT,特許07563480,高橋,小田,,〇,"WalkMe Desktop, Whatfix Desktop, SAP Enable Now",,C,https://chatgpt.com/share/68eadc4a-2324-800b-bc3e-9411a787950d,https://chatgpt.com/s/dr_68ec6321bc80819186418683642f5fc5,,1,7563480
NTT,特許07553838,高橋,小田,複数のハードウェアリソースを効率的に利用するためのクラウド通信システム,×,,,,https://chatgpt.com/share/68eb7c97-ce2c-800b-a05b-e6743bb9e7a7,,,1,7553838
NTT,特許07548439,高橋,小田,基板の変形により無線通信部を身体から離すウェアラブルデバイス,×,,,,https://chatgpt.com/share/68eadd15-f950-800b-85d8-30beb3410920,,,1,7548439
NTT,特許07548421,高橋,小田,複数アクセラレータ連携パイプライン技術,〇,"Intel QuickAssist Technology（QAT）搭載製品（例：Cisco UCS、HPE ProLiantサーバーなど）
NXP Layerscape LS1088Aを搭載した製品（DPAA2を活用したネットワーク機器）
Marvell Octeon TX2（旧Cavium）を搭載したセキュリティアプライアンスやネットワーク装置",,A,https://chatgpt.com/share/68eaf183-a454-800b-a288-741ca1a76544,,,1,7548421
NTT,特許07522374,高橋,小田,メッセージングミドルウェアにおけるPublish/Subscribe（Pub/Sub）モデル,〇,"AWS IoT Core
Google Cloud Pub/Sub
Microsoft Azure Service Bus",,A,https://chatgpt.com/share/68eaf66b-5694-800b-a99a-af42238aeb9e,https://chatgpt.com/s/dr_68ec6392c6408191a8c3c053e4977ab8,,1,7522374
NTT,特許07509255,高橋,小田,ウェイクワード単体で呼びかけた場合に応答音を出す挙動,〇,"Googleアシスタント搭載製品
AppleのSiri搭載製品",,A,https://chatgpt.com/share/68ec2388-2308-800b-88b7-89c2f0c6188b,https://chatgpt.com/s/dr_68ec655ce9f88191b19ceb06acf7ef8a,,1,7509255
NTT,特許07505585,高橋,小田,AIOps（AIによるIT運用自動化）分野における、障害からの自動復旧ワークフローを構築する技術,〇,Amazon Web Services (AWS)の「AWS Resilience Hub」および「AWS Fault Injection Simulator (FIS)」,,C,https://chatgpt.com/share/68eaf6e2-d5a0-800b-81e6-59890e7d95e2,https://chatgpt.com/share/68ec96a5-9388-800b-b071-f456701f6335,,1,7505585
NTT,特許07505579,高橋,小田,エッジAIにおける分散処理システム,〇,"AWS (IoT Greengrass＋クラウドAI): 約4.4兆円
Azure (IoT Edge＋クラウドAI): 約3.7兆円",,S,https://chatgpt.com/share/68eb7ea7-3f20-800b-9a56-09db10a5c10e,https://chatgpt.com/share/68ec973b-1bdc-800b-aa58-612914f66da1,,1,7505579
NTT,特許07501619,高橋,小田,物体認識において、「位置情報（状況）」と「把持センサ情報（行動）」を組み合わせて候補を絞り込み、識別する技術,×,,,,https://chatgpt.com/share/68eb8041-a40c-800b-ba30-258cfb0ce7db,,,1,7501619
NTT,特許07452690,高橋,小田,NFT発行の基本システム,〇,"WISeKeyのWISe.ART／WISeAuthentic
売り上げほぼ０",,E,https://chatgpt.com/share/68eb81f2-dde0-800b-a53a-9fa3cb5b9078,,,1,7452690
NTT,特許07452687,高橋,小田,スマートコントラクトを用いてIDや所有権の管理権限を安全に移転する技術,〇,Microsoft （Entra Verified ID / DID:ION）,,D,https://chatgpt.com/share/68eb82b6-e5d8-800b-9193-0fe3a66ca461,https://chatgpt.com/s/dr_68ec97eefb788191a7a7b2af44348656,,1,7452687
NTT,特許07439938,高橋,小田,クラウドサービスの予測オートスケーリング機能,〇,AWS（Amazon Web Services） Auto Scaling（予測スケーリング）など,,A,https://chatgpt.com/share/68eb85d8-70f4-800b-be70-cafb77542651,https://chatgpt.com/s/dr_68ec982ce7b48191a9c4f5bc47b755f1,,1,7439938
NTT,特許07425368,高橋,小田,AIによる対話の話題分割,〇,"Zoom IQ for Sales
Microsoft Teams",,C,https://chatgpt.com/share/68eb8c8f-7be0-800b-9ff6-7e2589f1b1a7,https://chatgpt.com/s/dr_68ec98def7448191916bd33f8337c5b4,,1,7425368
NTT,特許07414139,高橋,小田,AR技術,〇,Googleマップ（Live View / ARナビゲーション）,,A,https://chatgpt.com/share/68eb8cf6-4234-800b-933c-ee2c4f6811c1,https://chatgpt.com/s/dr_68ec9df12cc8819193d1ae2ac397dd1a,,1,7414139
NTT,特許07375835,高橋,小田,自然言語の仕様に基づきベクトル検索で類似コードを探し、それを具体的な入出力例（テストケース）で修正する技術,〇,GitHub Copilot,,C,https://chatgpt.com/share/68ec9e77-2404-800b-8e2e-670538d643e8,,,1,7375835
NTT,特許07363908,高橋,小田,生成AIのRAG技術,〇,ChatGPT Plus、Bard、Bing Chat、BlenderBot、Cohere Command-R など,,C,https://chatgpt.com/share/68eb8dcb-6dec-800b-9ad3-638324e1db99,,,1,7363908
NTT,特許07360077,高橋,奥野,制御装置、制御方法、および制御プログラム,〇,Dynatrace AutomationEngine(約5億円),,C,https://chatgpt.com/share/68e9ccef-6f24-800b-b37e-fa71a9264174,,,1,7360077
NTT,特許07359207,高橋,奥野,多角形検索方法,〇,Mapbox Geofencing API(15億円),,C,https://chatgpt.com/share/68eafaf1-bc0c-800b-b7c9-bcdbec306f38,Google BigQuery、HERE Geofencing APIなど出願前に販売,,1,7359207
NTT,特許07355237,高橋,奥野,ランキング関数生成装置,×,,,E,https://chatgpt.com/share/68eb0a03-c108-800b-a04e-fa17ce53c1a4,製品は見つかったが全て出願前から販売,,1,7355237
NTT,特許07351352,高橋,奥野,プログラム生成装置,〇,"Cursor（Anysphere社：20億円）
Windsurf（Codeium〈Exafunction社〉数億円）",,A,https://chatgpt.com/share/68eb2d49-1118-800b-bf88-f36c29a248a9,,,1,7351352
NTT,特許07347549,高橋,奥野,モデル管理装置,×,,,E,https://chatgpt.com/share/68eb3443-54b4-800b-be77-f3428d2dafb4,製品は見つかったが全て出願前から販売,,1,7347549
NTT,特許07338698,高橋,奥野,学習装置、検知装置,〇,Amazon SageMaker Autopilot(約100億円),,A,https://chatgpt.com/share/68eb3a99-fed8-800b-ae6d-575737e6a43f,"Microsoft Azure AutoML
Google Cloud AutoML
DataRobotは出願前から販売
",,1,7338698
NTT,特許07335532,高橋,奥野,保守管理システム、メッセージ制御装置,×,,,E,https://chatgpt.com/share/68eb71a3-92ec-800b-99ad-c97d58192635,製品は見つかったが全て出願前から販売,,1,7335532
NTT,特許07318720,高橋,奥野,シミュレーション装置,〇,PTV Viswalk / Vissim(0.3億円),,D,https://chatgpt.com/share/68eb7c7b-9574-800b-b2c3-4624f02af3f5,,,1,7318720
NTT,特許07276432,高橋,奥野,通信システム及び端末,×,,,,https://chatgpt.com/share/68eb80b5-d9bc-800b-8c21-4c65c2b0b192,,,1,7276432
NTT,特許07268736,高橋,奥野,同期制御装置,〇,"Mini Synchronizer 3 (Dantec Dynamics)(0.01億円未満)
Femtoシリーズ（Femto Bolt/Mega）(0.04億円)",,D,https://chatgpt.com/share/68ec1d48-8fac-800b-9f8f-8c6a74cdcd9c,,,1,7268736
NTT,特許07247878,高橋,奥野,回答学習装置,〇,"Bingの「Yes/No」回答機能 （Microsoft）(3億円)
Amazon Kendra （Amazon Web Services(5億円)",,C,https://chatgpt.com/share/68ec4725-8380-800b-88b8-8be8f09495f5,,,1,7247878
NTT,特許07231807,高橋,奥野,通信装置及び情報処理方法,〇,Samsung Galaxy S25(数百億円),,Ａ,https://chatgpt.com/share/68ec573d-31d8-800b-92d8-a03b1239fe40,"Cisco SG350XG / SG550XG
Fortinet FortiGateシリーズ
Huawei iBMC搭載サーバ通信装置",,1,7231807
NTT,特許07226581,高橋,奥野,制御装置、制御方法及びプログラム,×,,,E,https://chatgpt.com/share/68ec8f91-096c-800b-b2b5-b03a3e74909b,製品は見つかったが全て出願前から販売,,1,7226581
NTT,特許07218816,高橋,奥野,対話方法、対話システム,×,,,E,https://chatgpt.com/share/68eca179-f670-800b-ad3b-5aca52459fc0,製品は見つかったが全て出願前から販売,,1,7218816
NTT,特許07216888,高橋,奥野,,,,,,,,,1,7216888
NTT,特許07215572,高橋,,,,,,,,,,1,7215572
NTT,特許07208564,高橋,,,,,,,,,,1,7208564
NTT,特許07181490,高橋,,,,,,,,,,1,7181490
NTT,特許07180686,高橋,,,,,,,,,,1,7180686
NTT,特許07151606,高橋,,,,,,,,,,1,7151606
NTT,特許07135824,高橋,,,,,,,,,,1,7135824
NTT,特許07135659,高橋,,,,,,,,,,1,7135659
NTT,特許07131428,高橋,,,,,,,,,,1,7131428
NTT,特許07131414,高橋,,,,,,,,,,1,7131414
NTT,特許07127570,高橋,,,,,,,,,,1,7127570
NTT,特許07108213,高橋,青井,,,,,,,,,1,7108213
NTT,特許07106997,高橋,青井,,,,,,,,,1,7106997
NTT,特許07098272,高橋,青井,,,,,,,,,1,7098272
NTT,特許07095581,高橋,青井,,,,,,,,,1,7095581
NTT,特許07087938,高橋,青井,,,,,,,,,1,7087938
NTT,特許07081455,高橋,青井,,,,,,,,,1,7081455
NTT,特許07081454,高橋,青井,,,,,,,,,1,7081454
NTT,特許07059825,高橋,青井,,,,,,,,,1,7059825
NTT,特許07056752,高橋,青井,,,,,,,,,1,7056752
NTT,特許07048898,高橋,青井,,,,,,,,,1,7048898
NTT,特許07037097,高橋,,,,,,,,,,1,7037097
NTT,特許07037059,高橋,,,,,,,,,,1,7037059
NTT,特許07031736,高橋,,,,,,,,,,1,7031736
NTT,特許07031569,高橋,,,,,,,,,,1,7031569
NTT,特許07031527,高橋,,,,,,,,,,1,7031527
NTT,特許07020345,高橋,,,,,,,,,,1,7020345
NTT,特許07001920,高橋,,,,,,,,,,1,7001920
NTT,特許06996472,高橋,,,,,,,,,,1,6996472
NTT,特許06992896,高橋,,,,,,,,,,1,6992896
NTT,特許06984576,高橋,,,,,,,,,,1,6984576
NTT,特許06977664,高橋,,,,,,,,,,1,6977664
NTT,特許06974751,高橋,,,,,,,,,,1,6974751
NTT,特許06939998,高橋,,,,,,,,,,1,6939998
NTT,特許06920614,高橋,,,,,,,,,,1,6920614
NTT,特許06904426,高橋,,,,,,,,,,1,6904426
NTT,特許06901005,高橋,,,,,,,,,,1,6901005
NTT,特許06885884,高橋,,,,,,,,,,1,6885884
NTT,特許06857757,高橋,,,,,,,,,,1,6857757
NTT,特許06852161,高橋,,,,,,,,,,1,6852161
NTT,特許06850740,高橋,,,,,,,,,,1,6850740
NTT,特許06848091,高橋,,,,,,,,,,1,6848091
